d,p,
"2012-07-02,一",741.19,
"2012-07-03,二",743.9,
"2012-07-04,三",739.62,
"2012-07-05,四",724.31,
"2012-07-06,五",737.29,
"2012-07-09,一",722.28,
"2012-07-10,二",713.53,
"2012-07-11,三",719.3,
"2012-07-12,四",734.32,
"2012-07-13,五",725.79,
"2012-07-16,一",691.39,
"2012-07-17,二",697,
"2012-07-18,三",702.14,
"2012-07-19,四",709.17,
"2012-07-20,五",706.25,
"2012-07-23,一",704.57,
"2012-07-24,二",706.4,
"2012-07-25,三",708.3,
"2012-07-26,四",706.73,
"2012-07-27,五",703.58,
"2012-07-30,一",688.47,
"2012-07-31,二",676.96,
"2012-08-01,三",689.49,
"2012-08-02,四",690.98,
"2012-08-03,五",711.93,
"2012-08-06,一",730.42,
"2012-08-07,二",736.01,
"2012-08-08,三",730.07,
"2012-08-09,四",743.2,
"2012-08-10,五",743.07,
"2012-08-13,一",727.64,
"2012-08-14,二",736.35,
"2012-08-15,三",729.73,
"2012-08-16,四",723.53,
"2012-08-17,五",721.05,
"2012-08-20,一",730.87,
"2012-08-21,二",748.94,
"2012-08-22,三",746.85,
"2012-08-23,四",750.56,
"2012-08-24,五",733.31,
"2012-08-27,一",722.57,
"2012-08-28,二",727.62,
"2012-08-29,三",726.94,
"2012-08-30,四",704.04,
"2012-08-31,五",706.63,
"2012-09-03,一",723.87,
"2012-09-04,二",722.72,
"2012-09-05,三",730.62,
"2012-09-06,四",739.74,
"2012-09-07,五",759.46,
"2012-09-10,一",762.31,
"2012-09-11,二",761.73,
"2012-09-12,三",762.51,
"2012-09-13,四",749.89,
"2012-09-14,五",744.46,
"2012-09-17,一",724.15,
"2012-09-18,二",723.61,
"2012-09-19,三",728.25,
"2012-09-20,四",706.69,
"2012-09-21,五",691.14,
"2012-09-24,一",690.34,
"2012-09-25,二",682.34,
"2012-09-26,三",661.49,
"2012-09-27,四",676.96,
"2012-09-28,五",689.64,
"2012-10-08,一",690.77,
"2012-10-09,二",712.7,
"2012-10-10,三",721.85,
"2012-10-11,四",711.8,
"2012-10-12,五",708.87,
"2012-10-15,一",701.96,
"2012-10-16,二",705.39,
"2012-10-17,三",709.09,
"2012-10-18,四",720.52,
"2012-10-19,五",719.45,
"2012-10-22,一",724.28,
"2012-10-23,二",711.26,
"2012-10-24,三",707.75,
"2012-10-25,四",697.44,
"2012-10-26,五",685.33,
"2012-10-29,一",688.12,
"2012-10-30,二",689.61,
"2012-10-31,三",691.65,
"2012-11-01,四",701.78,
"2012-11-02,五",701.38,
"2012-11-05,一",692.87,
"2012-11-06,二",690.5,
"2012-11-07,三",689.75,
"2012-11-08,四",675.85,
"2012-11-09,五",672.67,
"2012-11-12,一",676.6,
"2012-11-13,二",667.33,
"2012-11-14,三",665.19,
"2012-11-15,四",659.21,
"2012-11-16,五",656.2,
"2012-11-19,一",656.94,
"2012-11-20,二",656.61,
"2012-11-21,三",660.03,
"2012-11-22,四",651.83,
"2012-11-23,五",651.43,
"2012-11-26,一",638.88,
"2012-11-27,二",616.28,
"2012-11-28,三",607.67,
"2012-11-29,四",603.17,
"2012-11-30,五",606.77,
"2012-12-03,一",593.66,
"2012-12-04,二",600.8,
"2012-12-05,三",624.82,
"2012-12-06,四",624.32,
"2012-12-07,五",637.49,
"2012-12-10,一",646.32,
"2012-12-11,二",641.17,
"2012-12-12,三",639.51,
"2012-12-13,四",632.18,
"2012-12-14,五",656.22,
"2012-12-17,一",649.61,
"2012-12-18,二",646.05,
"2012-12-19,三",652.1,
"2012-12-20,四",658.31,
"2012-12-21,五",668.09,
"2012-12-24,一",679.76,
"2012-12-25,二",694.12,
"2012-12-26,三",709.08,
"2012-12-27,四",699.57,
"2012-12-28,五",707.67,
"2012-12-31,一",713.86,
"2013-01-04,五",705.34,
"2013-01-07,一",718.11,
"2013-01-08,二",733.14,
"2013-01-09,三",734.51,
"2013-01-10,四",741.18,
"2013-01-11,五",731.59,
"2013-01-14,一",760.55,
"2013-01-15,二",778.6,
"2013-01-16,三",774.49,
"2013-01-17,四",768.31,
"2013-01-18,五",787.39,
"2013-01-21,一",792.6,
"2013-01-22,二",775.14,
"2013-01-23,三",778.48,
"2013-01-24,四",757.87,
"2013-01-25,五",762.85,
"2013-01-28,一",784.76,
"2013-01-29,二",791.67,
"2013-01-30,三",783.68,
"2013-01-31,四",776.01,
"2013-02-01,五",782.36,
"2013-02-04,一",771.9,
"2013-02-05,二",780.98,
"2013-02-06,三",791.26,
"2013-02-07,四",805.59,
"2013-02-08,五",823.03,
"2013-02-18,一",835.28,
"2013-02-19,二",819.71,
"2013-02-20,三",850.86,
"2013-02-21,四",839.3,
"2013-02-22,五",838.76,
"2013-02-25,一",855.69,
"2013-02-26,二",851.22,
"2013-02-27,三",846.09,
"2013-02-28,四",861.1,
"2013-03-01,五",884.89,
"2013-03-04,一",863.5,
"2013-03-05,二",888.1,
"2013-03-06,三",902.9,
"2013-03-07,四",877.34,
"2013-03-08,五",864.7,
"2013-03-11,一",869.15,
"2013-03-12,二",839.84,
"2013-03-13,三",834.05,
"2013-03-14,四",842.04,
"2013-03-15,五",853.91,
"2013-03-18,一",852.12,
"2013-03-19,二",842.69,
"2013-03-20,三",866.27,
"2013-03-21,四",882.73,
"2013-03-22,五",882,
"2013-03-25,一",881.76,
"2013-03-26,二",876.36,
"2013-03-27,三",882.75,
"2013-03-28,四",867.51,
"2013-03-29,五",866.46,
"2013-04-01,一",877,
"2013-04-02,二",845.16,
"2013-04-03,三",835.14,
"2013-04-08,一",853.48,
"2013-04-09,二",861.99,
"2013-04-10,三",850.53,
"2013-04-11,四",847.78,
"2013-04-12,五",846.61,
"2013-04-15,一",836.34,
"2013-04-16,二",846.05,
"2013-04-17,三",867.51,
"2013-04-18,四",873.48,
"2013-04-19,五",892.21,
"2013-04-22,一",916.02,
"2013-04-23,二",893.79,
"2013-04-24,三",923.41,
"2013-04-25,四",903.63,
"2013-04-26,五",889.38,
"2013-05-02,四",913.65,
"2013-05-03,五",939.21,
"2013-05-06,一",958.02,
"2013-05-07,二",957.44,
"2013-05-08,三",980.08,
"2013-05-09,四",992.16,
"2013-05-10,五",988.3,
"2013-05-13,一",995.11,
"2013-05-14,二",976.33,
"2013-05-15,三",1012.66,
"2013-05-16,四",1009.53,
"2013-05-17,五",1023.4,
"2013-05-20,一",1051.65,
"2013-05-21,二",1073.58,
"2013-05-22,三",1039.81,
"2013-05-23,四",1042.9,
"2013-05-24,五",1073.78,
"2013-05-27,一",1089.72,
"2013-05-28,二",1059,
"2013-05-29,三",1065.96,
"2013-05-30,四",1073.87,
"2013-05-31,五",1073.02,
"2013-06-03,一",1052.14,
"2013-06-04,二",1022.46,
"2013-06-05,三",1032.76,
"2013-06-06,四",1022.13,
"2013-06-07,五",1030.14,
"2013-06-13,四",1029.28,
"2013-06-14,五",1068.15,
"2013-06-17,一",1073.69,
"2013-06-18,二",1072.93,
"2013-06-19,三",1067.63,
"2013-06-20,四",1029.53,
"2013-06-21,五",1025.5,
"2013-06-24,一",971.45,
"2013-06-25,二",984.75,
"2013-06-26,三",1038.98,
"2013-06-27,四",1022.5,
"2013-06-28,五",1011.66,
"2013-07-01,一",1055.84,
"2013-07-02,二",1083.25,
"2013-07-03,三",1104.58,
"2013-07-04,四",1087.9,
"2013-07-05,五",1057.27,
"2013-07-08,一",1030.6,
"2013-07-09,二",1050.72,
"2013-07-10,三",1068.86,
"2013-07-11,四",1080.78,
"2013-07-12,五",1096.3,
"2013-07-15,一",1139.57,
"2013-07-16,二",1143.2,
"2013-07-17,三",1129.48,
"2013-07-18,四",1127.97,
"2013-07-19,五",1116.01,
"2013-07-22,一",1153.77,
"2013-07-23,二",1178.59,
"2013-07-24,三",1203.31,
"2013-07-25,四",1150.39,
"2013-07-26,五",1158.35,
"2013-07-29,一",1136.98,
"2013-07-30,二",1124.1,
"2013-07-31,三",1134.02,
"2013-08-01,四",1190.11,
"2013-08-02,五",1188.85,
"2013-08-05,一",1202.83,
"2013-08-06,二",1211.78,
"2013-08-07,三",1175.7,
